FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry,lon,lat,operateur_clean,zone
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a3,Plateaux,Kloto,Kloto 1,Agome-Kpalime,"Moov, Togocom",POINT (0.624375 6.91786),0.624375,6.91786,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a2,Plateaux,Agou,Agou 1,Gadja,"Moov, Togocom",POINT (0.8189783333333334 6.742288333333333),0.8189783333333334,6.742288333333333,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a1,Plateaux,Anié,Anié 1,Anié,Togocom,POINT (1.1976733333333334 7.745433333333334),1.1976733333333334,7.745433333333334,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7a0,Plateaux,Anié,Anié 1,Anié,Togocom,POINT (1.1976366666666667 7.745370000000001),1.1976366666666667,7.745370000000001,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79f,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.39584 7.754828333333334),1.39584,7.754828333333334,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79e,Plateaux,Agou,Agou 2,Amoussou-Kopé,"Moov, Togocom",POINT (0.8225566666666667 6.716291666666666),0.8225566666666667,6.716291666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79d,Plateaux,Agou,Agou 2,Amoussou-Kopé,"Moov, Togocom",POINT (0.82526 6.715791666666666),0.82526,6.715791666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79c,Plateaux,Agou,Agou 2,Amoussou-Kopé,"Moov, Togocom",POINT (0.8241233333333333 6.716033333333333),0.8241233333333333,6.716033333333333,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79b,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4302833333333331 7.7383783333333325),1.4302833333333331,7.7383783333333325,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-79a,Plateaux,Kloto,Kloto 1,Tové,Moov,POINT (0.6527183333333333 6.874701666666666),0.6527183333333333,6.874701666666666,Moov,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-799,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4322633333333332 7.736951666666666),1.4322633333333332,7.736951666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-798,Plateaux,Anié,Anié 1,Anié,Togocom,POINT (1.1989433333333332 7.748935),1.1989433333333332,7.748935,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-797,Plateaux,Anié,Anié 1,Anié,Togocom,POINT (1.1997250000000002 7.743456666666667),1.1997250000000002,7.743456666666667,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-796,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.43171 7.737301666666667),1.43171,7.737301666666667,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-795,Plateaux,Kloto,Kloto 3,Kouma,Togocom,POINT (0.6393876294621653 6.950682621356271),0.6393876294621653,6.950682621356271,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-794,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4317549999999999 7.736405),1.4317549999999999,7.736405,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-793,Plateaux,Agou,Agou 2,Amoussou-Kopé,"Moov, Togocom",POINT (0.8562949999999999 6.676885),0.8562949999999999,6.676885,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-792,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4316633333333333 7.736098333333333),1.4316633333333333,7.736098333333333,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-791,Plateaux,Kloto,Kloto 3,Kouma,Nsp,POINT (0.6402011501773067 6.950333444464977),0.6402011501773067,6.950333444464977,Inconnu,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-790,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6459336078243575 6.971154467887298),0.6459336078243575,6.971154467887298,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78f,Plateaux,Anié,Anié 2,Adogbénou,Togocom,POINT (1.4307566666666667 7.734953333333334),1.4307566666666667,7.734953333333334,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78e,Plateaux,Kloto,Kloto 1,Agome-Kpalime,"Moov, Togocom",POINT (0.6377665915595945 6.896487192682889),0.6377665915595945,6.896487192682889,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78d,Plateaux,Kloto,Kloto 1,Agome-Kpalime,"Moov, Togocom",POINT (0.6318703975205578 6.933530750181255),0.6318703975205578,6.933530750181255,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78c,Plateaux,Haho,Haho 1,Atchavé,"Moov, Togocom",POINT (1.1836012360625565 6.8582089996527085),1.1836012360625565,6.8582089996527085,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78b,Plateaux,Haho,Haho 1,Atchavé,"Moov, Togocom",POINT (1.2143919739526075 6.859933150721017),1.2143919739526075,6.859933150721017,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-78a,Plateaux,Haho,Haho 1,Atchavé,"Moov, Togocom",POINT (1.2151900847814912 6.859432339934989),1.2151900847814912,6.859432339934989,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-789,Plateaux,Haho,Haho 1,Atchavé,"Moov, Togocom",POINT (1.2161664732864648 6.858722986244676),1.2161664732864648,6.858722986244676,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-788,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.649142058077688 6.973120375880545),0.649142058077688,6.973120375880545,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-787,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6519562104559948 6.976464399264543),0.6519562104559948,6.976464399264543,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-786,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6535815255980488 6.983957127067383),0.6535815255980488,6.983957127067383,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-785,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.654862055242051 6.992599901823599),0.654862055242051,6.992599901823599,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-784,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.655218314310276 6.993299952551753),0.655218314310276,6.993299952551753,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-783,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6552352282766898 6.99445612284571),0.6552352282766898,6.99445612284571,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-782,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.46329 7.74548),1.46329,7.74548,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-781,Plateaux,Haho,Haho 1,Atchavé,"Moov, Togocom",POINT (1.189194920866155 6.859830664355343),1.189194920866155,6.859830664355343,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-780,Plateaux,Kloto,Kloto 2,Kpimé,"Moov, Togocom",POINT (0.6499900444741354 6.973788713036981),0.6499900444741354,6.973788713036981,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77f,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4330966666666667 7.7368933333333345),1.4330966666666667,7.7368933333333345,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77e,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.2015516666666668 7.762443333333333),1.2015516666666668,7.762443333333333,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77d,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.4333666666666667 7.736701666666666),1.4333666666666667,7.736701666666666,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77c,Plateaux,Kloto,Kloto 1,Agome-Kpalime,"Moov, Togocom",POINT (0.6292802764777983 6.897616583165042),0.6292802764777983,6.897616583165042,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77b,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Moov,POINT (0.6313826648474278 6.900398020239776),0.6313826648474278,6.900398020239776,Moov,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-77a,Plateaux,Anié,Anié 2,Adogbénou,"Moov, Togocom",POINT (1.43303 7.736693333333333),1.43303,7.736693333333333,"Moov, Togocom",Intérieur
